artwork,imageUrl,caption,g
https://w3id.org/spice/imma/documentation/darkroom,https://imma.ie/wp-content/uploads/2018/11/7532.jpg,"Grace Weir, Darkroom, 2015, Archival pigment giclée on Hahnemühle Archival Fine Art paper, Sheet: 31.6 x 25.6 cm, Collection Irish Museum of Modern Art, Collection of the artist, 2015 ",artworks/darkroom.jsonld
https://w3id.org/spice/imma/documentation/three-steps-towards-the-sea,https://imma.ie/wp-content/uploads/2018/11/930.jpg,"Edward Allington, Three Steps Towards the Sea, 1985, Leather bound book, wood, 3 bronze sculptures, Dimensions variable, Collection Irish Museum of Modern Art, Loan, Weltkunst Foundation, 1994 ",artworks/three-steps-towards-the-sea.jsonld
https://w3id.org/spice/imma/documentation/working-drawing-for-body-of-thought-no-i-bt-9,https://imma.ie/wp-content/uploads/2018/11/3507.jpg,"Richard Deacon, Working drawing for Body of Thought No I (BT 9), 1988, Pencil on squared paper, 59 x 84cm, Collection Irish Museum of Modern Art, Loan, Weltkunst Foundation, 1994 ",artworks/working-drawing-for-body-of-thought-no-i-bt-9.jsonld
https://w3id.org/spice/imma/documentation/the-wild-geese-iii,https://imma.ie/wp-content/uploads/2018/11/906.jpg,"Sidney Nolan, The Wild Geese III, 1989, Oil on canvas, 152.4 x 121.92 cm, Collection Irish Museum of Modern Art, Donated by the artist, 1991 ",artworks/the-wild-geese-iii.jsonld
https://w3id.org/spice/imma/documentation/the-approach,https://imma.ie/wp-content/uploads/2018/11/5155.jpg,"Clodagh Emoe, The Approach, 2009, Woolen fabric, silk, Vetiver essential oil, Collection Irish Museum of Modern Art, Donation, 2010 ",artworks/the-approach.jsonld
https://w3id.org/spice/imma/documentation/mother-and-twins,https://imma.ie/wp-content/uploads/2019/10/1351.jpg,"Gerard Dillon, Mother and Twins, 1952, Oil on board, 37.5 x 52.1 cm, Collection Irish Museum of Modern Art, Heritage Gift from the McClelland Collection by Noel and Anne Marie Smyth, 2003 ",artworks/mother-and-twins.jsonld
https://w3id.org/spice/imma/documentation/out-here-iii,https://imma.ie/wp-content/uploads/2019/10/1626.jpg,"Oliver Comerford, Out Here III, 2003, Oil on canvas over board, 153 x 229 cm, Collection Irish Museum of Modern Art, Purchase, 2003 ",artworks/out-here-iii.jsonld
https://w3id.org/spice/imma/documentation/melancolia,https://imma.ie/wp-content/uploads/2020/03/1262.jpg,"Luis Estremadoyro, Melancolía, 1982, Lithograph, 75.1 x 55.3 cm, Collection Irish Museum of Modern Art, Donation, Smurfit: Cartón y Papel de México, 2000 ",artworks/melancolia.jsonld
https://w3id.org/spice/imma/documentation/yes-folks-its-official,https://imma.ie/wp-content/uploads/2018/11/314.jpg,"David Godbold, Yes Folks, its Official!, 2002, Ink and pencil on tracing paper over found flip chart notes, 78 x 58 cm, Collection Irish Museum of Modern Art, Purchase, 2005 ",artworks/yes-folks-its-official.jsonld
https://w3id.org/spice/imma/documentation/the-troubles-an-artists-document-of-ulster-75,https://imma.ie/wp-content/uploads/2018/11/5719.jpg,"Les Levine, The Troubles: an Artist’s Document of Ulster, 1972, Archival cibachrome, 27.9 x 35.6 cm, Collection Irish Museum of Modern Art, Donated by the artist in memory of his parents Muriel McMahon and Charles Levine, 2010 ",artworks/the-troubles-an-artists-document-of-ulster-75.jsonld
https://w3id.org/spice/imma/documentation/aids-is-not-over,https://imma.ie/wp-content/uploads/2021/04/9542.jpg,"Breda Lynch, AIDS is not over&nbsp;, 2016, cyanotype print, 59.4 x 84.1 cm, Collection Irish Museum of Modern Art, Purchase, 2021, 2021 ",artworks/aids-is-not-over.jsonld
https://w3id.org/spice/imma/documentation/breed-to-come,https://imma.ie/wp-content/uploads/2021/04/9546.jpg,"Breda Lynch, Breed to Come, 2016, cyanotype print, 84.1 x 59.4 cm, Collection Irish Museum of Modern Art, Purchase, 2021, 2021 ",artworks/breed-to-come.jsonld
https://w3id.org/spice/imma/documentation/revolucion,https://imma.ie/wp-content/uploads/2018/11/6871.jpg,"José Lazcarro Toquero, Revolución, 2010, Etching and woodcut, Sheet: 70 x 110 cm Plate: 60 x 100 cm, Collection Irish Museum of Modern Art, Diplomatic gift of the Federal Government of Mexico, 2011 ",artworks/revolucion.jsonld
https://w3id.org/spice/imma/documentation/signage-for-a-35-floor-social-centre,https://imma.ie/wp-content/uploads/2021/01/343.jpg,"Liam Gillick, Signage for a 35 Floor Social Centre, 2006, Aluminium, foam ex, stainless steel, Collection Irish Museum of Modern Art, Donation, by the artist, 2007 ",artworks/signage-for-a-35-floor-social-centre.jsonld
https://w3id.org/spice/imma/documentation/back-of-snowman,https://imma.ie/wp-content/uploads/2021/01/1466.jpg,"Gary Hume, Back of Snowman, 2003, Bronze and crayon, 153 x 107 x 53 cm, Collection Irish Museum of Modern Art, Purchase, 2005 ",artworks/back-of-snowman.jsonld
https://w3id.org/spice/imma/documentation/rotoreliefs-optical-disks,https://imma.ie/wp-content/uploads/2018/11/5076.jpg,"Marcel Duchamp, Rotoreliefs (Optical Disks), 1935, Set of 12 offset lithograph in colors, on both sides of six cardboard disks, contained in original plastic holder, Collection Irish Museum of Modern Art, The Novak/O'Doherty Collection at IMMA Gift, The American Ireland Fund, 2014 ",artworks/rotoreliefs-optical-disks.jsonld
https://w3id.org/spice/imma/documentation/untitled-24,https://imma.ie/wp-content/uploads/2020/10/1135.jpg,"Fergus Martin, Untitled, 1999, Acrylic on Canvas, 25 x 380 cm, Collection Irish Museum of Modern Art, Purchase, 1999 ",artworks/untitled-24.jsonld
https://w3id.org/spice/imma/documentation/still-life-with-oil-lamp,https://imma.ie/wp-content/uploads/2018/11/3474.jpg,"George Campbell, Still Life with Oil Lamp, 1969, Oil on board, 76 x 63 cm, Collection Irish Museum of Modern Art, Heritage Gift by the Bank of Ireland from the Bank of Ireland Collection, 2008 ",artworks/still-life-with-oil-lamp.jsonld
https://w3id.org/spice/imma/documentation/stranger,https://imma.ie/wp-content/uploads/2018/11/174.jpg,"Michael Mulcahy, Stranger, 1983, Coloured pencil on paper, 57.5 x 77 cm, Collection Irish Museum of Modern Art, Gordon Lambert Trust, 1992 ",artworks/stranger.jsonld
https://w3id.org/spice/imma/documentation/between-the-eyes-t8,https://imma.ie/wp-content/uploads/2018/11/2747.jpg,"Richard Deacon, Between the Eyes, T8, 1987, Pencil on double sided poster, 31 x 41.5 cm, Collection Irish Museum of Modern Art, Loan, Weltkunst Foundation, 1994 ",artworks/between-the-eyes-t8.jsonld
https://w3id.org/spice/imma/documentation/the-egyptian-book,https://imma.ie/wp-content/uploads/2018/11/7553.jpg,"Lucian Freud, The Egyptian Book, 1994, Etching, Plate: 29.8 x 29.8 cm Sheet: 46.4 x 42.5 cm Framed: 49 x 45 cm, Collection Irish Museum of Modern Art, On Loan, Private Collection ",artworks/the-egyptian-book.jsonld
https://w3id.org/spice/imma/documentation/earth-shelters-iii,https://imma.ie/wp-content/uploads/2018/11/7393.jpg,"Maria Simonds-Gooding, Earth Shelters III, 2007, Carborundum, 67 x 87 cm, Collection Irish Museum of Modern Art, Donation, 2014 ",artworks/earth-shelters-iii.jsonld
https://w3id.org/spice/imma/documentation/escaped-animals,https://imma.ie/wp-content/uploads/2021/01/1556.jpg,"Julian Opie, Escaped Animals, 2002, Vinyl, aluminium and steel, Dimensions variable, Collection Irish Museum of Modern Art, Commissioned by BALTIC, Gateshead and presented by BALTIC, and the artist, 2002 ",artworks/escaped-animals.jsonld
https://w3id.org/spice/imma/documentation/goodbye-old-paint,https://imma.ie/wp-content/uploads/2018/11/3581.jpg,"Noel Sheridan, Goodbye Old Paint, 1969, Mixed Media, 30 x 30 x 20 cm, Collection Irish Museum of Modern Art, Heritage Gift, 2002 ",artworks/goodbye-old-paint.jsonld
https://w3id.org/spice/imma/documentation/dublin-last-waltz-at-the-shelbourne-hotel,https://imma.ie/wp-content/uploads/2021/03/1543.jpg,"Rebecca Horn, Dublin Last Waltz at the Shelbourne Hotel, 1992, Over-painted photograph, 126 x 92.5 cm, Collection Irish Museum of Modern Art, Donated by the Artist, 2001 ",artworks/dublin-last-waltz-at-the-shelbourne-hotel.jsonld
https://w3id.org/spice/imma/documentation/the-descent,https://imma.ie/wp-content/uploads/2020/03/5987.jpg,"Bea McMahon, The Descent, 2008, Mixed Media, 32 x 28 cm, Collection Irish Museum of Modern Art, Assisted Purchase Fund:it, 2011 ",artworks/the-descent.jsonld
https://w3id.org/spice/imma/documentation/patio-reflections-with-susie-and-interior-paradise-2-bahamas-1980,https://imma.ie/wp-content/uploads/2018/11/1407.jpg,"Tony O'Malley, Patio Reflections with Susie and interior, Paradise 2 Bahamas, 1980, 1980, Gouache, pastel and coloured chalks on paper, 77.5 x 52 cm, Collection Irish Museum of Modern Art, Heritage Gift from the McClelland Collection by Noel and Anne Marie Smyth, 2003 ",artworks/patio-reflections-with-susie-and-interior-paradise-2-bahamas-1980.jsonld
https://w3id.org/spice/imma/documentation/document,https://imma.ie/wp-content/uploads/2018/11/6150.jpg,"Anne Tallentire, Document, 2010, Work on paper mounted on metal panel, metal structure, Collection Irish Museum of Modern Art, Donation, 2011 ",artworks/document.jsonld
https://w3id.org/spice/imma/documentation/jump,https://imma.ie/wp-content/uploads/2021/04/9529.jpg,"Cléa van der Grijn, Jump, 2018, HD Video, Duration: 26min.31 sec., Collection Irish Museum of Modern Art, Purchase, 2021, 2021 ",artworks/jump.jsonld
https://w3id.org/spice/imma/documentation/untitled-112,https://imma.ie/wp-content/uploads/2018/11/1996.jpg,"Leopoldo Novoa, Untitled, 1970, Moulded canvas, acrylic, 101.7 x 82.2 x 20.5 cm, Collection Irish Museum of Modern Art, Gordon Lambert Trust, 1992 ",artworks/untitled-112.jsonld
https://w3id.org/spice/imma/documentation/homage-a-braque,https://imma.ie/wp-content/uploads/2020/01/1987.jpg,"Joan Miró, Homage á Braque, 1962, Aquatint on paper, 28.3 x 22.3 cm, Collection Irish Museum of Modern Art, Gordon Lambert Trust, 1992 ",artworks/homage-a-braque.jsonld
https://w3id.org/spice/imma/documentation/the-troubles-an-artists-document-of-ulster-22,https://imma.ie/wp-content/uploads/2018/11/5666.jpg,"Les Levine, The Troubles: an Artist’s Document of Ulster, 1972, Archival cibachrome, 27.9 x 35.6 cm, Collection Irish Museum of Modern Art, Donated by the artist in memory of his parents Muriel McMahon and Charles Levine, 2010 ",artworks/the-troubles-an-artists-document-of-ulster-22.jsonld
https://w3id.org/spice/imma/documentation/sea-of-japan-rebun-island,https://imma.ie/wp-content/uploads/2021/05/9100.jpg,"Hiroshi Sugimoto, Sea of Japan, Rebun Island, 1996, black and white photograph, Framed: 65.9 x 83.7 x 3.9 cm, Collection Irish Museum of Modern Art, Heritage Gift, Kerlin Gallery Collection, 2018, 2018 ",artworks/sea-of-japan-rebun-island.jsonld
https://w3id.org/spice/imma/documentation/greaser-slat-v,https://imma.ie/wp-content/uploads/2018/11/634.jpg,"Terry Atkinson, Greaser Slat V, 1990, Hardboard, wood, grease, acrylic, 154.5 x 100 cm, Collection Irish Museum of Modern Art, Purchase, 1993 ",artworks/greaser-slat-v.jsonld
https://w3id.org/spice/imma/documentation/pagan-lesbians,https://imma.ie/wp-content/uploads/2021/07/9551.jpg,"Breda Lynch, Pagan Lesbians&nbsp;, 2016, black and white colouring pencil on rose pink tinted Canson paper, 65 x 50 cm, Collection Irish Museum of Modern Art, Purchase, 2021, 2021 ",artworks/pagan-lesbians.jsonld
https://w3id.org/spice/imma/documentation/aran-landscape,https://imma.ie/wp-content/uploads/2018/11/1459.jpg,"Elizabeth Rivers, Aran Landscape, 1945, Oil on board, 50.8 x 66.04 cm, Collection Irish Museum of Modern Art, Heritage Gift by Mr. Noel Smyth, 2003 ",artworks/aran-landscape.jsonld
https://w3id.org/spice/imma/documentation/eddie-sylvies-brother-in-the-desert-ny,https://imma.ie/wp-content/uploads/2018/11/1912.jpg,"Öyvind Fahlström, Eddie (Sylvie’s brother) in the Desert NY, 1966, Print, 43.2 x 55 cm Framed: 63 x 74 cm, Collection Irish Museum of Modern Art, Gordon Lambert Trust, 1992 ",artworks/eddie-sylvies-brother-in-the-desert-ny.jsonld
https://w3id.org/spice/imma/documentation/hors-du-cercle,https://imma.ie/wp-content/uploads/2018/11/1988.jpg,"Joan Miró, Hors du Cercle, 1920, Coloured lithograph on paper, 54.2 x 71.1 cm, Collection Irish Museum of Modern Art, Gordon Lambert Trust, 1992 ",artworks/hors-du-cercle.jsonld
https://w3id.org/spice/imma/documentation/davids-mothers-white-bowl,https://imma.ie/wp-content/uploads/2018/11/717.jpg,"João Penalva, David’s Mother’s White Bowl, 2004, Iris print collage onto a book; Iris print dry-mounted on aluminium; ink on paper; acrylic glass and oak frame, 110 x 185 cm, Collection Irish Museum of Modern Art, Purchase, 2005 ",artworks/davids-mothers-white-bowl.jsonld
https://w3id.org/spice/imma/documentation/untitled-99,https://imma.ie/wp-content/uploads/2018/11/644.jpg,"Hans Burkhardt, Untitled, 1975, Screenprint, 66.5 x 107 cm, Collection Irish Museum of Modern Art, Donation, Jack Rutberg, 1991 ",artworks/untitled-99.jsonld
https://w3id.org/spice/imma/documentation/anna-on-a-sofa,https://imma.ie/wp-content/uploads/2018/11/1879.jpg,"Basil Blackshaw, Anna on a Sofa, 1960, Oil on canvas, 122.5 x 122.5 cm, Collection Irish Museum of Modern Art, Gordon Lambert Trust, 1992 ",artworks/anna-on-a-sofa.jsonld
https://w3id.org/spice/imma/documentation/leslie,https://imma.ie/wp-content/uploads/2020/02/720.jpg,"Gene Lambert, Leslie, 1985, Black and white photographs, 33 x 24 cm, Collection Irish Museum of Modern Art, Purchase, 1991 ",artworks/leslie.jsonld
https://w3id.org/spice/imma/documentation/portrait-of-ian-baird-holding-a-drawing-of-his-wife-beatrice,https://imma.ie/wp-content/uploads/2020/03/6319.jpg,"Robert Ballagh, Portrait of Ian Baird holding a drawing of his wife Beatrice, 1977, Watercolor, 50 x 32 cm, Collection Irish Museum of Modern Art, Gordon Lambert Trust, 2002 ",artworks/portrait-of-ian-baird-holding-a-drawing-of-his-wife-beatrice.jsonld
https://w3id.org/spice/imma/documentation/objects-with-colour-2,https://imma.ie/wp-content/uploads/2018/11/468.jpg,"Guggi, Objects with Colour 2, 2008, Oil on wood, 130 x 95 cm, Collection Irish Museum of Modern Art, Donated by Sean Scully, 2009 ",artworks/objects-with-colour-2.jsonld
https://w3id.org/spice/imma/documentation/untitled-49,https://imma.ie/wp-content/uploads/2020/02/1374.jpg,"Tracey Emin, Untitled, 1994, Letterpress printed in tourquoise on white paper, 61 x 47 cm, Collection Irish Museum of Modern Art, Loan, Weltkunst Foundation, 1994 ",artworks/untitled-49.jsonld
https://w3id.org/spice/imma/documentation/the-field-on-the-mountain,https://imma.ie/wp-content/uploads/2018/11/6101.jpg,"Maria Simonds-Gooding, The Field on the Mountain, 1999, Carborundum, Sheet: 69 x 97 cm, Collection Irish Museum of Modern Art, Donation, Graphic Studio Dublin, 2011 ",artworks/the-field-on-the-mountain.jsonld
https://w3id.org/spice/imma/documentation/expand-expand-through-bush-land,https://imma.ie/wp-content/uploads/2021/03/5562.jpg,"Nina Canell, Expand, Expand Through Bush &amp; Land, 2007, Bucket, foam, imploded thermos, insulation, light, maracas, neon, plastic, Polyfilla, rubber, socks, steel, string, synthetic fur, TV monitor, water and wood, Collection Irish Museum of Modern Art, Purchase, 2010 ",artworks/expand-expand-through-bush-land.jsonld
https://w3id.org/spice/imma/documentation/accordianed-paper,https://imma.ie/wp-content/uploads/2018/11/3451.jpg,"Susan Tiger, Accordian(ed) paper, 2006, Acrylic paint and water soluble graphite on drafting vellum, 30.5 x 23 cm, Collection Irish Museum of Modern Art, Purchase, 2008 ",artworks/accordianed-paper.jsonld
https://w3id.org/spice/imma/documentation/between-the-eyes-t42,https://imma.ie/wp-content/uploads/2018/11/2781.jpg,"Richard Deacon, Between the Eyes, T42, 1989, Pencil on tracing paper, 43 x 65 cm, Collection Irish Museum of Modern Art, Loan, Weltkunst Foundation, 1994 ",artworks/between-the-eyes-t42.jsonld
https://w3id.org/spice/imma/documentation/snowdrop,https://imma.ie/wp-content/uploads/2018/11/3568.jpg,"William McKeown, Snowdrop, 2008, Etching, 46 x 38 cm, Collection Irish Museum of Modern Art, IMMA Editions, Donated by the artist, 2008 ",artworks/snowdrop.jsonld
https://w3id.org/spice/imma/documentation/zabriskie-point-death-valley-ca,https://imma.ie/wp-content/uploads/2021/01/7513.jpg,"Jonathan Krotinger, Zabriskie Point, Death Valley, CA, 1995, Gelatin silver print, 22.7 x 22.7 cm, Collection Irish Museum of Modern Art, Donation, David Kronn Collection, 2015 ",artworks/zabriskie-point-death-valley-ca.jsonld
https://w3id.org/spice/imma/documentation/green-touch,https://imma.ie/wp-content/uploads/2018/11/1794.jpg,"Evin Nolan, Green Touch, 1969, Acrylic on canvas on board, 121.9 x 132.1 cm, Collection Irish Museum of Modern Art, Heritage Gift, P.J. Carroll &amp; Co. Ltd. Art Collection, 2005 ",artworks/green-touch.jsonld
https://w3id.org/spice/imma/documentation/cassiope-tetragona,https://imma.ie/wp-content/uploads/2018/11/7494.jpg,"Karl Blossfeldt, Cassiope Tetragona, 1929, Photogravure, 24 x 31 cm, Collection Irish Museum of Modern Art, Donation, David Kronn Collection, 2015 ",artworks/cassiope-tetragona.jsonld
https://w3id.org/spice/imma/documentation/interior-decorators,https://imma.ie/wp-content/uploads/2018/11/3475.jpg,"Gerard Dillon, Interior Decorators, 1945, Oil on canvas, 37 x 46 cm, Collection Irish Museum of Modern Art, Heritage Gift by the Bank of Ireland from the Bank of Ireland collection, 2008 ",artworks/interior-decorators.jsonld
https://w3id.org/spice/imma/documentation/afghanistan,https://imma.ie/wp-content/uploads/2018/11/7517.jpg,"Simon Norfolk, Afghanistan, 2001, Chromogenic print from digital file, Sheet: 26.6 x 35.4 cm, Collection Irish Museum of Modern Art, Donation, David Kronn Collection, 2015 ",artworks/afghanistan.jsonld
https://w3id.org/spice/imma/documentation/untitled-115,https://imma.ie/wp-content/uploads/2020/02/7614-scaled.jpg,"Tim Robinson, Untitled, 1967, Oil on canvas, 126.8 x 127.3 cm Framed: 127.5 x 128 cm, Collection Irish Museum of Modern Art, Collection Irish Museum of Modern Art, Gift of the Artist, 2019 ",artworks/untitled-115.jsonld
https://w3id.org/spice/imma/documentation/orange-cross,https://imma.ie/wp-content/uploads/2018/11/180.jpg,"Camille Souter, Orange Cross, 1956, Oil on board, 20.5 x 15.4 cm, Collection Irish Museum of Modern Art, Gordon Lambert Trust, 1992 ",artworks/orange-cross.jsonld
https://w3id.org/spice/imma/documentation/il-fume-e-le-sue-fonti,https://imma.ie/wp-content/uploads/2018/11/6022.jpg,"Thomas Scheibitz, Il Fume e le Sue Fonti, 2011, Pencil crayon on paper, Collection Irish Museum of Modern Art, Donation, 2011 ",artworks/il-fume-e-le-sue-fonti.jsonld
https://w3id.org/spice/imma/documentation/two-brothers-from-ulster,https://imma.ie/wp-content/uploads/2021/05/9009.jpg,"Lucian Freud, Two Brothers from Ulster, 2001, Oil on canvas, 137.2 x 167.6 cm Framed: H 147 cm x b 155 cm x d 9.2 cm 147 x 155 x 9.2 cm, Collection Irish Museum of Modern Art, On Loan, Private Collection ",artworks/two-brothers-from-ulster.jsonld
https://w3id.org/spice/imma/documentation/i-r-a-handmade-training-chart,https://imma.ie/wp-content/uploads/2018/11/5626.jpg,"Les Levine, I.R.A. handmade training chart, 1979, Etched on zinc; printed in black ink on white German etching paper, 55.9 x 76.2 cm, Collection Irish Museum of Modern Art, Donated by the artist in memory of his sister June Levine, 2010 ",artworks/i-r-a-handmade-training-chart.jsonld
https://w3id.org/spice/imma/documentation/loss-memory-her-shoes,https://imma.ie/wp-content/uploads/2018/11/3965.jpg,"Amelia Stein, Loss &amp; Memory – Her Shoes, 2002, Photograph, 25 x 25 cm, Collection Irish Museum of Modern Art, Donation, in memory of Mona and Mendel Stein, 2004 ",artworks/loss-memory-her-shoes.jsonld
https://w3id.org/spice/imma/documentation/drawing-of-merrion-square-1,https://imma.ie/wp-content/uploads/2018/11/1333.jpg,"Michael Scott, Drawing of Merrion Square, 1, 1967, Ink on paper, Collection Irish Museum of Modern Art, Donated by Dorothy Walker in Memory of Michael Scott, 2000 ",artworks/drawing-of-merrion-square-1.jsonld
https://w3id.org/spice/imma/documentation/the-back-of-tory-island,https://imma.ie/wp-content/uploads/2019/10/3478.jpg,"Derek Hill, The Back of Tory Island, 1960, Oil on canvas, 152 x 122 cm, Collection Irish Museum of Modern Art, Heritage Gift by the Bank of Ireland from the Bank of Ireland collection, 2008 ",artworks/the-back-of-tory-island.jsonld
https://w3id.org/spice/imma/documentation/azimuth,https://imma.ie/wp-content/uploads/2018/11/5154.jpg,"Clodagh Emoe, Azimuth, 2009, Wooden flagpoles, sackcloth, wax, wood stain, graphite, wax, Collection Irish Museum of Modern Art, Donation, 2010 ",artworks/azimuth.jsonld
https://w3id.org/spice/imma/documentation/untitled-46,https://imma.ie/wp-content/uploads/2019/10/1230.jpg,"Mat Collishaw, Untitled, 1994, Letterpress printed on cream paper without ink from a plate directly made from paperback's page, 47 x 61 cm, Collection Irish Museum of Modern Art, Loan, Weltkunst Foundation, 1994 ",artworks/untitled-46.jsonld
https://w3id.org/spice/imma/documentation/pirates-taking-away-children,https://imma.ie/wp-content/uploads/2020/02/1048.jpg,"Paula Rego, Pirates Taking Away Children, 1992, Etching and aquatint on hand-made paper, 28 x 20 cm, Collection Irish Museum of Modern Art, Purchase, 1996 ",artworks/pirates-taking-away-children.jsonld
https://w3id.org/spice/imma/documentation/precious-basics-ii,https://imma.ie/wp-content/uploads/2018/11/2254.jpg,"Thomas Scheibitz, Precious Basics II, 2007, Colour photograph, 43.5 x 29.2 cm, Collection Irish Museum of Modern Art, IMMA Editions, Donated by the artist, 2007 ",artworks/precious-basics-ii.jsonld
https://w3id.org/spice/imma/documentation/a-place-of-habitation,https://imma.ie/wp-content/uploads/2018/11/6099.jpg,"Maria Simonds-Gooding, A Place of Habitation, 1999, Carborundum, Sheet: 40 x 49 cm, Collection Irish Museum of Modern Art, Donation, Graphic Studio Dublin, 2011 ",artworks/a-place-of-habitation.jsonld
